,Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,DayOfWeek
109,18.0,2010-08-06,1166117.85,0.0,73.67,2.792,132.6141935,9.342,2010,8,6,4
110,18.0,2010-10-15,1029618.1,0.0,52.02,2.878,132.7633548,9.331,2010,10,15,4
111,18.0,2010-12-17,1588430.71,0.0,27.4,3.139,133.52091074999998,9.331,2010,12,17,4
112,18.0,2011-04-15,988157.72,0.0,27.4,3.823,134.2784667,8.975,2011,4,15,4
113,18.0,2012-04-27,961186.23,0.0,50.43,4.023,137.9781333,8.304,2012,4,27,4
114,18.0,2012-10-12,1074079.0,0.0,50.97,4.029,138.9117,8.243,2012,10,12,4
115,18.0,2012-10-12,1205307.5,0.0,21.33,2.7880000000000003,131.52790320000005,9.202,2012,10,12,4
116,18.0,2012-10-12,1087051.26,0.0,69.75,3.815,135.4468,8.89,2012,10,12,4
117,18.0,2012-10-12,1048134.24,0.0,73.25,3.84,138.1857097,8.535,2012,10,12,4
118,19.0,2010-03-26,1427023.45,0.0,39.07,2.963,131.863129,8.35,2010,3,26,4
119,19.0,2010-07-02,1549018.68,0.0,66.25,2.958,132.5218667,8.099,2010,7,2,4
120,19.0,2010-07-30,1366395.96,0.0,72.83,2.932,132.5983871,8.099,2010,7,30,4
121,19.0,2011-03-25,1266564.94,0.0,33.26,3.789,133.9587419,7.771,2011,3,25,4
122,19.0,2011-06-10,1467473.63,0.0,68.26,3.789,134.94254840000002,7.657999999999999,2011,6,10,4
123,19.0,2012-04-20,1255087.26,0.0,55.2,4.17,137.9230667,8.15,2012,4,20,4
124,19.0,2012-05-04,1405007.44,0.0,50.76,4.124,138.0332,8.15,2012,5,4,4
125,19.0,2012-06-22,1468350.36,0.0,50.76,3.722,138.1629,8.15,2012,6,22,4
126,20.0,2010-06-25,1973135.87,0.0,75.17,2.8080000000000003,204.5675459,7.856,2010,6,25,4
127,20.0,2010-09-24,1789687.65,0.0,69.37,2.8080000000000003,204.60538630000002,7.527,2010,9,24,4
128,20.0,2010-12-31,1799737.79,1.0,28.85,3.179,204.6432267,7.484,2010,12,31,4
129,20.0,2012-02-03,2203523.2,0.0,39.93,3.617,213.0236225,6.961,2012,2,3,4
130,20.0,2012-02-03,2045837.55,0.0,39.79,3.739,213.4725116,6.961,2012,2,3,4
